family,Mono,Bltc,Sp_D,Sp_L,Maze,St_H,St_D,St_V,Sddl,Eyes,Area
Acanthoclinidae,0,0,0,0,0,0,0,1,0,0,1
Acanthuridae,1,1,1,1,1,1,1,1,0,1,1
Acestrorhynchidae,1,1,0,0,0,1,0,0,0,1,0
Achiridae,1,1,1,1,1,0,0,1,0,0,0
Achiropsettidae,1,0,0,0,0,0,0,0,0,0,0
Acipenseridae,1,0,0,1,0,1,0,0,0,0,0
Acropomatidae,1,1,0,0,0,1,0,1,0,0,0
Adrianichthyidae,1,1,1,0,0,1,0,1,0,0,0
Agonidae,1,1,1,0,1,1,0,1,1,0,1
Akysidae,1,1,0,1,0,0,0,1,1,0,1
Albulidae,1,0,0,0,0,0,0,0,0,0,0
Alepisauridae,1,0,0,0,0,1,0,0,0,0,0
Alepocephalidae,1,1,0,0,0,0,0,0,0,0,0
Alestidae,1,0,1,1,0,1,0,1,0,1,0
Alestiidae,1,0,1,0,0,1,0,0,0,1,0
Alopidae,1,0,0,0,0,0,0,0,0,0,0
Alopiidae,1,0,0,0,0,0,0,0,0,0,0
Ambassidae,1,0,0,0,0,1,0,1,0,1,0
Amblycipitidae,1,0,0,1,0,1,0,0,0,0,0
Amblyopsidae,1,0,0,0,0,1,0,0,0,0,0
Amiidae,0,1,0,1,1,0,0,0,0,1,0
Ammodytidae,1,0,1,0,0,0,0,0,0,0,0
Amphiliidae,1,1,1,0,1,1,0,1,1,0,0
Anabantidae,1,0,1,1,1,1,0,1,0,1,0
Anablepidae,0,0,1,0,0,1,0,0,0,0,0
Anacanthobatidae,1,0,0,0,0,0,0,0,0,0,0
Anarhichadidae,0,1,1,0,1,0,0,1,0,0,0
Anarhichantidae,0,0,1,0,0,1,0,0,0,0,0
Anchariidae,1,1,0,1,0,0,0,0,0,0,0
Anguillidae,1,1,0,0,0,0,0,0,0,0,0
Anomalopidae,1,0,0,1,0,0,0,0,0,0,1
Anoplogastridae,1,0,0,0,0,0,0,0,0,0,0
Anoplopomatidae,0,1,0,0,1,0,0,1,1,0,1
Anostomidae,1,1,1,0,1,1,1,1,0,1,1
Anotopteridae,1,0,0,0,0,0,0,0,0,0,0
Antennariidae,1,1,1,1,1,0,1,0,1,1,1
Aphredoderidae,1,0,0,0,0,0,0,0,0,0,0
Aphyonidae,1,0,0,0,0,0,0,0,0,0,0
Apistidae,1,1,0,0,0,0,0,0,0,1,0
Aploactinidae,1,1,1,1,0,1,0,1,0,0,1
Aplocheilidae,1,1,1,1,1,1,0,1,0,0,0
Aplodactylidae,0,1,1,1,1,0,0,0,1,0,0
Apogonidae,1,1,1,1,1,1,1,1,0,1,1
Apteronotidae,1,1,0,0,0,1,0,0,0,0,0
Aracanidae,0,0,1,1,1,1,0,0,0,0,1
Arapaimidae,1,0,0,0,0,0,0,0,0,0,0
Argentinidae,1,0,0,0,0,1,0,1,1,0,0
Arhynchobatidae,1,1,1,1,1,0,0,0,0,1,0
Ariidae,1,1,0,0,0,1,0,1,0,0,1
Ariommatidae,1,0,1,0,0,0,0,0,0,0,0
Arripidae,1,0,1,0,0,0,0,1,0,0,0
Artedidraconidae,1,1,1,1,1,1,0,0,1,0,0
Aspredinidae,1,1,0,1,0,1,0,0,1,0,0
Astroblepidae,1,1,0,0,0,0,0,0,0,0,0
Astronesthidae,1,0,0,0,0,0,0,0,0,0,0
Ateleopodidae,1,1,1,0,0,0,0,0,0,0,0
Atherinidae,1,0,0,0,0,1,0,0,0,0,0
Atherinopsidae,1,0,0,0,0,1,0,0,0,0,1
Auchenipteridae,1,1,1,1,1,1,0,0,1,1,1
Aulopidae,0,1,1,0,0,0,0,0,1,0,0
Aulorhynchidae,0,0,0,1,0,0,0,1,0,0,0
Aulostomidae,1,0,1,1,0,1,0,1,0,0,1
Austroglanididae,0,1,0,0,0,0,0,0,0,0,0
Badidae,1,0,1,0,0,0,0,1,0,1,0
Bagridae,1,1,1,1,0,1,1,1,1,1,1
Balistidae,1,1,1,1,1,1,1,1,1,1,1
Balitoridae,1,1,1,1,1,1,1,1,1,0,0
Banjosidae,0,1,0,0,0,1,0,0,0,0,0
Barbourisiidae,1,0,0,0,0,0,0,0,0,0,0
Barbuccidae,0,0,0,0,0,0,0,1,0,0,0
Bathyclupeidae,1,0,0,0,0,0,0,0,0,0,0
Bathydraconidae,1,1,1,0,0,0,1,0,1,0,0
Bathylagidae,1,1,0,0,0,0,0,0,0,0,1
Bathymasteridae,1,1,0,1,1,0,0,1,0,0,0
Bathypteroidae,1,0,0,0,0,0,0,1,0,0,1
Bathysauridae,1,0,0,0,0,0,0,1,0,0,0
Batrachoididae,1,1,1,1,1,0,0,1,1,0,1
