genus,Mono,Bltc,Sp_D,Sp_L,Maze,St_H,St_D,St_V,Sddl,Eyes,Area
Aapticheilichthys,1,0,0,0,0,0,0,0,0,0,0
Abactochromis,0,0,0,0,0,0,0,1,0,0,0
Abalistes,0,1,1,1,1,0,0,0,1,0,0
Abbottina,0,1,1,0,0,0,0,1,0,0,0
Ablabys,1,1,0,0,0,0,0,0,0,0,1
Ablennes,1,0,0,0,0,0,0,0,0,0,0
Aboma,0,1,1,0,0,0,0,0,0,0,0
Aborichthys,0,0,0,0,0,0,0,1,0,0,0
Abramis,1,0,0,0,0,0,0,0,0,0,0
Abramites,0,0,0,0,1,0,1,0,0,0,0
Abudefduf,1,0,0,0,0,0,0,1,0,1,1
Abyssoberyx,1,1,0,0,0,0,0,0,0,0,0
Acanthaluteres,1,0,1,0,1,0,0,0,0,0,0
Acanthaphritis,0,1,1,0,0,0,0,0,0,0,0
Acantharchus,0,1,0,0,0,1,0,0,0,0,0
Acanthemblemaria,0,0,1,1,0,1,0,1,1,0,0
Acanthicus,1,0,0,1,0,0,0,0,0,0,0
Acanthistius,1,0,1,0,1,0,0,1,0,0,0
Acanthobrama,1,0,0,0,0,1,0,0,0,0,0
Acanthobunocephalus,0,0,0,0,0,0,0,0,1,0,0
Acanthocepola,1,0,1,0,0,0,0,0,0,1,0
Acanthocharax,0,0,0,0,0,0,0,0,0,1,0
Acanthochromis,0,1,0,0,0,1,0,0,0,0,0
Acanthocleithron,0,1,0,0,0,0,0,0,1,0,0
Acanthoclinus,1,0,0,1,0,0,0,0,0,0,0
Acanthocobitis,0,0,1,0,1,1,0,1,1,0,0
Acanthocybium,0,0,0,0,0,0,0,1,0,0,0
Acanthodoras,0,0,0,0,0,1,0,0,0,0,0
Acanthodraco,0,1,0,0,0,0,0,0,0,0,0
Acanthogobio,1,0,0,0,0,0,0,0,0,0,0
Acanthogobius,0,1,1,0,0,0,0,1,0,0,0
Acantholabrus,0,0,0,1,0,0,0,0,0,1,0
Acanthopagrus,1,0,0,0,0,1,0,1,0,0,1
Acanthoplesiops,1,1,0,0,0,0,0,0,0,0,1
Acanthopsetta,1,0,0,0,0,0,0,0,0,0,0
Acanthopsoides,0,0,1,0,0,1,0,0,0,0,0
Acanthorhodeus,1,0,0,0,0,0,0,0,0,0,0
Acanthosphex,1,0,0,0,0,0,0,0,0,0,0
Acanthostracion,0,0,1,1,1,0,0,0,0,0,0
Acanthurus,1,0,1,1,1,1,1,1,0,1,1
Acantopsis,0,0,1,0,0,0,0,0,0,0,0
Acapoeta,1,0,0,0,0,0,0,0,0,0,0
Acarichthys,0,0,0,1,0,1,0,1,0,1,0
Acaronia,0,0,0,0,0,0,1,1,0,1,0
Acentrogobius,1,1,1,1,0,1,0,1,0,0,0
Acentronichthys,0,1,0,0,0,0,0,0,0,0,0
Acentronura,0,1,0,0,0,0,0,0,0,0,0
Acestridium,1,1,0,0,0,1,0,0,0,0,0
Acestrocephalus,1,0,0,0,0,1,0,0,0,1,0
Acestrorhynchus,1,0,0,0,0,1,0,0,0,1,0
Acheilognathus,1,1,0,0,0,1,0,1,0,1,1
Achiroides,0,1,0,0,0,0,0,0,0,0,0
Achirus,0,1,1,0,1,0,0,1,0,0,0
Achoerodus,1,0,0,0,0,0,0,0,0,0,0
Achondrostoma,1,0,0,0,0,1,0,0,0,0,0
Acipenser,1,0,0,1,0,1,0,0,0,0,0
Acnodon,1,0,0,0,0,0,0,1,0,0,0
Acreichthys,0,1,1,1,1,0,0,0,0,0,0
Acrobrycon,1,0,0,0,0,0,0,0,0,0,0
Acrocheilus,1,0,0,0,0,0,0,0,0,0,0
Acrochordonichthys,1,1,0,1,0,0,0,0,0,0,0
Acropoma,1,0,0,0,0,0,0,1,0,0,0
Acrossocheilus,0,1,1,0,0,1,0,1,0,0,0
Acroteriobatus,1,0,1,1,0,0,0,0,0,0,0
Aculeola,1,0,0,0,0,0,0,0,0,0,0
Acyrtus,0,0,1,0,0,0,0,1,0,0,0
Adelosebastes,0,1,0,0,0,0,0,0,0,0,0
Adelotremus,0,0,0,0,0,1,0,0,0,0,0
Adontosternarchus,1,1,0,0,0,0,0,0,0,0,0
