img_file,db,family,genus,species,Mono,Bltc,Sp_D,Sp_L,Maze,St_H,St_D,St_V,Sddl,Eyes,Area
75397AF.jpg,FishPix,Acanthoclinidae,Acanthoplesiops,Acanthoplesiops psilogaster,0,0,0,0,0,0,0,0,0,0,1
59663AF.jpg,FishPix,Acanthoclinidae,Belonepterygion,Belonepterygion fasciolatum,0,0,0,0,0,0,0,1,0,0,0
76126AF.jpg,FishPix,Acanthuridae,Acanthurus,Acanthurus achilles,0,0,0,0,0,0,0,0,0,1,1
Acalb_u2.jpg,FishBase,Acanthuridae,Acanthurus,Acanthurus albipectoralis,1,0,0,0,0,0,0,0,0,0,0
Acaur_u0.jpg,FishBase,Acanthuridae,Acanthurus,Acanthurus auranticavus,1,0,0,0,0,0,0,0,0,0,0
Acbah_j1.jpg,FishBase,Acanthuridae,Acanthurus,Acanthurus bahianus,0,0,0,0,1,0,0,0,0,0,0
Acbah_u3.jpg,FishBase,Acanthuridae,Acanthurus,Acanthurus bahianus,1,0,0,0,0,0,0,0,0,0,0
Acbar_u0.jpg,FishBase,Acanthuridae,Acanthurus,Acanthurus bariene,0,0,0,0,1,0,0,0,0,0,0
5244AF.jpg,FishPix,Acanthuridae,Acanthurus,Acanthurus bariene,0,0,0,0,1,0,0,0,0,0,0
Acblo_u0.jpg,FishBase,Acanthuridae,Acanthurus,Acanthurus blochii,0,0,0,0,1,0,0,0,0,0,0
89485AF.jpg,FishPix,Acanthuridae,Acanthurus,Acanthurus blockii,0,0,0,0,1,0,0,0,0,0,0
Acchi_u1.jpg,FishBase,Acanthuridae,Acanthurus,Acanthurus chirurgus,0,0,0,0,0,0,0,1,0,0,0
25640AF.jpg,FishPix,Acanthuridae,Acanthurus,Acanthurus coeruleus,0,0,0,0,0,1,0,0,0,0,0
5510AF.jpg,FishPix,Acanthuridae,Acanthurus,Acanthurus coeruleus,0,0,0,0,0,1,0,0,0,0,0
Acdus_u1.jpg,FishBase,Acanthuridae,Acanthurus,Acanthurus dussumieri,0,0,0,0,1,0,0,0,0,0,0
11964AF.jpg,FishPix,Acanthuridae,Acanthurus,Acanthurus dussumieri,0,0,0,0,1,0,0,0,0,0,0
Acfow_u0.jpg,FishBase,Acanthuridae,Acanthurus,Acanthurus fowleri,0,0,0,0,1,0,0,0,0,0,0
Acgah_u1.jpg,FishBase,Acanthuridae,Acanthurus,Acanthurus gahhm,1,0,0,0,0,0,0,0,0,0,0
Acgra_u4.jpg,FishBase,Acanthuridae,Acanthurus,Acanthurus grammoptilus,0,0,0,0,1,0,0,0,0,0,0
72342AF.jpg,FishPix,Acanthuridae,Acanthurus,Acanthurus guttatus,0,0,0,1,0,0,0,1,0,0,0
72630AF.jpg,FishPix,Acanthuridae,Acanthurus,Acanthurus japonicus,0,0,0,0,0,0,0,0,0,0,1
Acleu_u0.jpg,FishBase,Acanthuridae,Acanthurus,Acanthurus leucocheilus,1,0,0,0,0,0,0,0,0,0,0
72339AF.jpg,FishPix,Acanthuridae,Acanthurus,Acanthurus leucopareius,0,0,0,0,0,0,1,0,0,0,0
Acleu_u3.jpg,FishBase,Acanthuridae,Acanthurus,Acanthurus leucosternon,0,0,0,0,0,0,0,0,0,0,1
15759AF.jpg,FishPix,Acanthuridae,Acanthurus,Acanthurus lineatus,0,0,0,0,0,1,0,0,0,0,0
77616AF.jpg,FishPix,Acanthuridae,Acanthurus,Acanthurus maculiceps,0,0,0,1,0,1,0,0,0,0,0
25645AF.jpg,FishPix,Acanthuridae,Acanthurus,Acanthurus mata,0,0,0,0,0,1,0,0,0,0,0
Acmon_u4.jpg,FishBase,Acanthuridae,Acanthurus,Acanthurus monroviae,0,0,0,0,1,0,0,0,0,0,0
140761AF.jpg,FishPix,Acanthuridae,Acanthurus,Acanthurus nigricans,0,0,0,0,0,0,0,0,0,0,1
33549AF.jpg,FishPix,Acanthuridae,Acanthurus,Acanthurus nigricauda,1,0,0,0,0,0,0,0,0,0,0
17513AF.jpg,FishPix,Acanthuridae,Acanthurus,Acanthurus nigrofuscus,1,0,0,0,0,0,0,0,0,0,0
Acnig_ud.jpg,FishBase,Acanthuridae,Acanthurus,Acanthurus nigroris,0,0,0,0,1,0,0,0,0,0,0
Acnub_u0.jpg,FishBase,Acanthuridae,Acanthurus,Acanthurus nubilus,0,0,1,0,0,1,0,0,0,0,0
141639AF.jpg,FishPix,Acanthuridae,Acanthurus,Acanthurus olivaceus,0,0,0,0,0,0,0,0,0,1,1
Acpol_u2.jpg,FishBase,Acanthuridae,Acanthurus,Acanthurus polyzona,0,0,0,0,0,0,0,1,0,0,0
Acpyr_u2.jpg,FishBase,Acanthuridae,Acanthurus,Acanthurus pyroferus,0,0,0,0,0,0,0,0,0,0,1
15200AF.jpg,FishPix,Acanthuridae,Acanthurus,Acanthurus pyroferus,0,0,0,0,0,0,0,0,0,0,1
Acran_u0.jpg,FishBase,Acanthuridae,Acanthurus,Acanthurus randalli,0,0,0,0,1,0,0,0,0,0,0
Acoli_u4.jpg,FishBase,Acanthuridae,Acanthurus,Acanthurus reversus,1,0,0,0,0,0,0,0,0,0,0
Acsoh_u0.jpg,FishBase,Acanthuridae,Acanthurus,Acanthurus sohal,0,0,0,0,1,1,0,0,0,0,0
Acten_u2.jpg,FishBase,Acanthuridae,Acanthurus,Acanthurus tennentii,1,0,0,0,0,0,0,0,0,0,0
140520AF.jpg,FishPix,Acanthuridae,Acanthurus,Acanthurus thompsoni,1,0,0,0,0,0,0,0,0,0,0
107257AF.jpg,FishPix,Acanthuridae,Acanthurus,Acanthurus triostegus,0,0,0,0,0,0,0,1,0,0,0
Actri_j0.jpg,FishBase,Acanthuridae,Acanthurus,Acanthurus tristis,0,0,0,0,0,0,0,1,0,0,0
28060AF.jpg,FishPix,Acanthuridae,Acanthurus,Acanthurus xanthopterus,1,0,0,0,0,0,0,0,0,0,0
71380AF.jpg,FishPix,Acanthuridae,Ctenochaetus,Ctenochaetus binotatus,0,0,0,1,0,1,0,0,0,0,0
140096AF.jpg,FishPix,Acanthuridae,Ctenochaetus,Ctenochaetus cyanocheilus,0,0,0,1,0,1,0,0,0,0,0
Ctfla_u0.jpg,FishBase,Acanthuridae,Ctenochaetus,Ctenochaetus flavicauda,0,0,0,1,0,1,0,0,0,0,0
55147AF.jpg,FishPix,Acanthuridae,Ctenochaetus,Ctenochaetus hawaiiensis,0,0,0,0,1,0,1,0,0,0,0
Ctmar_u0.jpg,FishBase,Acanthuridae,Ctenochaetus,Ctenochaetus marginatus,0,0,0,1,1,0,0,0,0,0,0
Ctmar_u1.jpg,FishBase,Acanthuridae,Ctenochaetus,Ctenochaetus marginatus,0,0,0,1,0,0,0,0,0,0,0
25649AF.jpg,FishPix,Acanthuridae,Ctenochaetus,Ctenochaetus striatus,0,0,0,1,0,1,0,0,0,0,0
59910AF.jpg,FishPix,Acanthuridae,Ctenochaetus,Ctenochaetus strigosus,0,0,0,1,1,1,0,0,0,0,0
Cttom_u1.jpg,FishBase,Acanthuridae,Ctenochaetus,Ctenochaetus tominiensis,1,0,0,0,0,0,0,0,0,0,0
Cttru_u0.jpg,FishBase,Acanthuridae,Ctenochaetus,Ctenochaetus truncatus,0,0,0,1,0,0,0,0,0,0,0
Naann_u2.jpg,FishBase,Acanthuridae,Naso,Naso annulatus,1,0,0,0,0,0,0,0,0,0,0
71353AF.jpg,FishPix,Acanthuridae,Naso,Naso annulatus,1,0,0,0,0,0,0,0,0,0,0
Nabra_u4.jpg,FishBase,Acanthuridae,Naso,Naso brachycentron,1,0,0,0,0,0,0,0,0,0,0
12733AF.jpg,FishPix,Acanthuridae,Naso,Naso brevirostris,0,0,1,0,0,0,0,0,0,0,0
Nacae_u1.jpg,FishBase,Acanthuridae,Naso,Naso caeruleacauda,1,0,0,0,0,0,0,0,0,0,0
Nacae_u2.jpg,FishBase,Acanthuridae,Naso,Naso caesius,0,1,0,0,0,0,0,0,0,0,0
141107AF.jpg,FishPix,Acanthuridae,Naso,Naso elegans,0,0,0,0,0,0,0,0,0,1,1
Nafag_u0.jpg,FishBase,Acanthuridae,Naso,Naso fageni,1,0,0,0,0,0,0,0,0,0,0
25795AF.jpg,FishPix,Acanthuridae,Naso,Naso hexacanthus,1,0,0,0,0,0,0,0,0,0,0
25641AF.jpg,FishPix,Acanthuridae,Naso,Naso lituratus,0,0,0,0,0,0,0,0,0,1,1
Nalop_u2.jpg,FishBase,Acanthuridae,Naso,Naso lopezi,0,0,1,0,0,0,0,0,0,0,0
Namac_u1.jpg,FishBase,Acanthuridae,Naso,Naso maculatus,0,0,1,0,1,0,0,0,0,0,0
31307AF.jpg,FishPix,Acanthuridae,Naso,Naso maculatus,0,0,1,0,1,0,0,0,0,0,0
48481AF.jpg,FishPix,Acanthuridae,Naso,Naso mcdadei,1,0,0,0,0,0,0,0,0,0,0
36528AF.jpg,FishPix,Acanthuridae,Naso,Naso minor,1,0,0,0,0,0,0,0,0,0,0
Naret_u2.jpg,FishBase,Acanthuridae,Naso,Naso reticulatus,0,0,0,0,1,0,0,0,0,0,0
Nater_u0.jpg,FishBase,Acanthuridae,Naso,Naso tergus,1,0,0,0,0,0,0,0,0,0,0
17051AF.jpg,FishPix,Acanthuridae,Naso,Naso thynnoides,0,0,0,0,0,0,0,1,0,0,0
68166AF.jpg,FishPix,Acanthuridae,Naso,Naso tonganus,0,0,1,0,0,0,0,0,0,0,0
Natub_u0.jpg,FishBase,Acanthuridae,Naso,Naso tuberosus,0,0,0,0,1,0,0,0,0,0,0
36074AF.jpg,FishPix,Acanthuridae,Naso,Naso unicornis,1,0,0,0,0,0,0,0,0,0,0
Navla_u8.jpg,FishBase,Acanthuridae,Naso,Naso vlamingii,0,0,1,0,0,0,0,0,0,0,0
13267AF.jpg,FishPix,Acanthuridae,Naso,Naso vlamingii,0,0,0,1,0,0,0,1,0,0,0
29879AF.jpg,FishPix,Acanthuridae,Naso,Naso vlamingii,0,0,1,0,0,0,0,1,0,0,0
23416AF.jpg,FishPix,Acanthuridae,Paracanthurus,Paracanthurus hepatus,0,0,0,0,0,0,0,0,0,0,1
Prbia_u4.jpg,FishBase,Acanthuridae,Prionurus,Prionurus biafraensis,0,0,1,0,0,0,1,0,0,0,0
Prchr_u1.jpg,FishBase,Acanthuridae,Prionurus,Prionurus chrysurus,0,0,0,0,0,0,0,1,0,0,0
Prlat_u2.jpg,FishBase,Acanthuridae,Prionurus,Prionurus laticlavius,0,0,1,0,0,0,1,0,0,0,0
Prlat_u4.jpg,FishBase,Acanthuridae,Prionurus,Prionurus laticlavius,0,0,1,0,0,0,1,0,0,0,0
Prmac_u0.jpg,FishBase,Acanthuridae,Prionurus,Prionurus maculatus,0,0,0,1,0,0,0,1,0,0,0
Prmic_u0.jpg,FishBase,Acanthuridae,Prionurus,Prionurus microlepidotus,0,0,0,0,0,0,0,1,0,0,0
Prpun_u1.jpg,FishBase,Acanthuridae,Prionurus,Prionurus punctatus,0,0,1,0,0,0,1,0,0,0,0
108551AF.jpg,FishPix,Acanthuridae,Prionurus,Prionurus scalprum,0,0,0,0,0,0,0,1,0,0,0
24032AF.jpg,FishPix,Acanthuridae,Prionurus,Prionurus scalprum,0,0,0,0,0,0,0,1,0,0,0
Zedes_u2.jpg,FishBase,Acanthuridae,Zebrasoma,Zebrasoma desjardinii,0,0,0,1,0,0,0,1,0,0,0
141113AF.jpg,FishPix,Acanthuridae,Zebrasoma,Zebrasoma desjardinii,0,0,0,1,0,0,0,1,0,0,0
140014AF.jpg,FishPix,Acanthuridae,Zebrasoma,Zebrasoma flavescens,1,0,0,0,0,0,0,0,0,0,0
Zegem_u0.jpg,FishBase,Acanthuridae,Zebrasoma,Zebrasoma gemmatum,0,0,0,1,0,0,0,0,0,0,0
Zeros_u0.jpg,FishBase,Acanthuridae,Zebrasoma,Zebrasoma rostratum,1,0,0,0,0,0,0,0,0,0,0
Zesco_u1.jpg,FishBase,Acanthuridae,Zebrasoma,Zebrasoma scopas,0,0,0,1,0,1,0,0,0,0,0
12350AF.jpg,FishPix,Acanthuridae,Zebrasoma,Zebrasoma scopas,0,0,0,1,0,1,0,0,0,0,0
72461AF.jpg,FishPix,Acanthuridae,Zebrasoma,Zebrasoma scopas,0,0,0,1,0,0,0,1,0,0,0
141646AF.jpg,FishPix,Acanthuridae,Zebrasoma,Zebrasoma veliferum,0,0,0,1,0,0,0,1,0,0,0
Zexan_u0.jpg,FishBase,Acanthuridae,Zebrasoma,Zebrasoma xanthurum,0,0,1,0,0,0,0,1,0,0,0
Zexan_u1.jpg,FishBase,Acanthuridae,Zebrasoma,Zebrasoma xanthurum,0,0,1,0,0,0,0,0,0,0,0
Zexan_u4.jpg,FishBase,Acanthuridae,Zebrasoma,Zebrasoma xanthurum,0,0,1,0,0,0,0,0,0,0,0
85192AF.jpg,FishPix,Acanthuridae,Zebrasoma,Zebrasoma xanthurum,0,0,0,0,1,1,0,0,0,0,0
Acalt_u0.jpg,FishBase,Acestrorhynchidae,Acestrorhynchus,Acestrorhynchus altus,0,0,0,0,0,0,0,0,0,1,0
Acbri_u0.jpg,FishBase,Acestrorhynchidae,Acestrorhynchus,Acestrorhynchus britskii,1,0,0,0,0,0,0,0,0,0,0
Acfal_j0.jpg,FishBase,Acestrorhynchidae,Acestrorhynchus,Acestrorhynchus falcatus,1,0,0,0,0,0,0,0,0,0,0
Acfal_u0.jpg,FishBase,Acestrorhynchidae,Acestrorhynchus,Acestrorhynchus falcirostris,1,0,0,0,0,0,0,0,0,0,0
Aclac_u1.jpg,FishBase,Acestrorhynchidae,Acestrorhynchus,Acestrorhynchus lacustris,0,0,0,0,0,0,0,0,0,1,0
Acmic_u0.jpg,FishBase,Acestrorhynchidae,Acestrorhynchus,Acestrorhynchus microlepis,1,0,0,0,0,0,0,0,0,0,0
Acmin_u0.jpg,FishBase,Acestrorhynchidae,Acestrorhynchus,Acestrorhynchus minimus,0,0,0,0,0,0,0,0,0,1,0
Acnas_u1.jpg,FishBase,Acestrorhynchidae,Acestrorhynchus,Acestrorhynchus nasutus,0,0,0,0,0,1,0,0,0,0,0
Acpan_u0.jpg,FishBase,Acestrorhynchidae,Acestrorhynchus,Acestrorhynchus pantaneiro,0,0,0,0,0,0,0,0,0,1,0
Giala_u0.jpg,FishBase,Acestrorhynchidae,Gilbertolus,Gilbertolus alatus,0,1,0,0,0,0,0,0,0,0,0
Gimar_u0.jpg,FishBase,Acestrorhynchidae,Gilbertolus,Gilbertolus maracaiboensis,0,1,0,0,0,0,0,0,0,0,0
Gnste_f0.jpg,FishBase,Acestrorhynchidae,Gnathocharax,Gnathocharax steindachneri,1,0,0,0,0,0,0,0,0,0,0
Helep_u6.jpg,FishBase,Acestrorhynchidae,Heterocharax,Heterocharax leptogrammus,0,0,0,0,0,1,0,0,0,0,0
Hemac_f0.jpg,FishBase,Acestrorhynchidae,Heterocharax,Heterocharax macrolepis,0,0,0,0,0,1,0,0,0,0,0
Hevir_m0.jpg,FishBase,Acestrorhynchidae,Heterocharax,Heterocharax virgulatus,0,0,0,0,0,1,0,0,0,0,0
Hogoe_u0.jpg,FishBase,Acestrorhynchidae,Hoplocharax,Hoplocharax goethei,0,0,0,0,0,1,0,0,0,0,0
Loili_m0.jpg,FishBase,Acestrorhynchidae,Lonchogenys,Lonchogenys ilisha,1,0,0,0,0,0,0,0,0,0,0
Acach_u4.jpg,FishBase,Achiridae,Achirus,Achirus achirus,0,1,0,0,0,0,0,1,0,0,0
Acdec_u0.jpg,FishBase,Achiridae,Achirus,Achirus declivis,0,0,0,0,0,0,0,1,0,0,0
Acklu_u0.jpg,FishBase,Achiridae,Achirus,Achirus klunzingeri,0,1,0,0,0,0,0,0,0,0,0
Aclin_ua.jpg,FishBase,Achiridae,Achirus,Achirus lineatus,0,0,1,0,0,0,0,1,0,0,0
Acmaz_u0.jpg,FishBase,Achiridae,Achirus,Achirus mazatlanus,0,0,0,0,0,0,0,1,0,0,0
Acnov_u0.jpg,FishBase,Achiridae,Achirus,Achirus novoae,0,1,0,0,0,0,0,1,0,0,0
Acscu_u0.jpg,FishBase,Achiridae,Achirus,Achirus scutum,0,0,0,0,1,0,0,0,0,0,0
Acscu_u1.jpg,FishBase,Achiridae,Achirus,Achirus scutum,0,0,0,0,1,0,0,1,0,0,0
Sofin_u0.jpg,FishBase,Achiridae,Apionichthys,Apionichthys finis,0,1,0,0,0,0,0,0,0,0,0
