species,Mono,Bltc,Sp_D,Sp_L,Maze,St_H,St_D,St_V,Sddl,Eyes,Area
Aapticheilichthys websteri,1,0,0,0,0,0,0,0,0,0,0
Abactochromis labrosus,0,0,0,0,0,0,0,1,0,0,0
Abalistes filamentosus,0,1,0,0,0,0,0,0,0,0,0
Abalistes stellaris,0,0,1,1,1,0,0,0,1,0,0
Abalistes stellatus,0,0,1,0,0,0,0,0,1,0,0
Abbottina liaoningensis,0,1,1,0,0,0,0,0,0,0,0
Abbottina obtusirostris,0,1,1,0,0,0,0,0,0,0,0
Abbottina rivularis,0,1,1,0,0,0,0,1,0,0,0
Ablabys binotatus,1,0,0,0,0,0,0,0,0,0,0
Ablabys macracanthus,0,0,0,0,0,0,0,0,0,0,1
Ablabys taenianotus,1,1,0,0,0,0,0,0,0,0,0
Ablennes hians,1,0,0,0,0,0,0,0,0,0,0
Aboma etheostoma,0,1,1,0,0,0,0,0,0,0,0
Aborichthys elongatus,0,0,0,0,0,0,0,1,0,0,0
Aborichthys kempi,0,0,0,0,0,0,0,1,0,0,0
Abramis brama,1,0,0,0,0,0,0,0,0,0,0
Abramites eques,0,0,0,0,1,0,0,0,0,0,0
Abramites hypselonotus,0,0,0,0,1,0,1,0,0,0,0
Abudefduf abdominalis,0,0,0,0,0,0,0,1,0,0,0
Abudefduf bengalensis,0,0,0,0,0,0,0,1,0,0,0
Abudefduf caudobimaculatus,0,0,0,0,0,0,0,1,0,0,0
Abudefduf concolor,0,0,0,0,0,0,0,1,0,0,0
Abudefduf conformis,0,0,0,0,0,0,0,1,0,0,0
Abudefduf declivifrons,0,0,0,0,0,0,0,1,0,0,0
Abudefduf hoefleri,0,0,0,0,0,0,0,1,0,0,0
Abudefduf lorenzi,0,0,0,0,0,0,0,1,0,0,0
Abudefduf luridus,1,0,0,0,0,0,0,0,0,0,0
Abudefduf margariteus,0,0,0,0,0,0,0,1,0,0,0
Abudefduf natalensis,0,0,0,0,0,0,0,1,0,0,0
Abudefduf notatus,0,0,0,0,0,0,0,1,0,0,0
Abudefduf saxatilis,0,0,0,0,0,0,0,1,0,0,0
Abudefduf septemfasciatus,0,0,0,0,0,0,0,1,0,0,0
Abudefduf sexfasciatus,0,0,0,0,0,0,0,1,0,0,0
Abudefduf sordidus,0,0,0,0,0,0,0,1,0,1,0
Abudefduf sparoides,1,0,0,0,0,0,0,0,0,1,0
Abudefduf taurus,0,0,0,0,0,0,0,1,0,0,0
Abudefduf troschelii,0,0,0,0,0,0,0,1,0,0,1
Abudefduf vaigiensis,0,0,0,0,0,0,0,1,0,0,1
Abudefduf whitleyi,0,0,0,0,0,0,0,1,0,0,0
Abyssoberyx levisquamosus,1,1,0,0,0,0,0,0,0,0,0
Acanthaluteres brownii,0,0,1,0,1,0,0,0,0,0,0
Acanthaluteres vittiger,1,0,0,0,0,0,0,0,0,0,0
Acanthaphritis barbata,0,1,0,0,0,0,0,0,0,0,0
Acanthaphritis barbatum,0,1,0,0,0,0,0,0,0,0,0
Acanthaphritis unoorum,0,0,1,0,0,0,0,0,0,0,0
Acantharchus pomotis,0,1,0,0,0,1,0,0,0,0,0
Acanthemblemaria aspera,0,0,1,1,0,0,0,0,0,0,0
Acanthemblemaria atrata,0,0,1,1,0,0,0,0,1,0,0
Acanthemblemaria balanorum,0,0,1,1,0,0,0,0,0,0,0
Acanthemblemaria castroi,0,0,0,1,0,1,0,0,0,0,0
Acanthemblemaria chaplini,0,0,1,0,0,0,0,0,0,0,0
Acanthemblemaria crockeri,0,0,1,1,0,0,0,0,0,0,0
Acanthemblemaria exilispinus,0,0,1,1,0,0,0,0,0,0,0
Acanthemblemaria hancocki,0,0,1,0,0,0,0,0,1,0,0
Acanthemblemaria hastingsi,0,0,1,1,0,0,0,0,0,0,0
Acanthemblemaria macrospilus,0,0,1,1,0,0,0,0,0,0,0
Acanthemblemaria mangognatha,0,0,1,1,0,0,0,0,0,0,0
Acanthemblemaria maria,0,0,0,0,0,0,0,1,1,0,0
Acanthemblemaria spinosa,0,0,1,1,0,0,0,0,0,0,0
Acanthemblemaria stephensi,0,0,1,1,0,0,0,0,0,0,0
Acanthicus adonis,0,0,0,1,0,0,0,0,0,0,0
Acanthicus hystrix,1,0,0,0,0,0,0,0,0,0,0
Acanthistius brasilianus,0,0,0,0,0,0,0,1,0,0,0
Acanthistius cinctus,0,0,0,0,0,0,0,1,0,0,0
Acanthistius fuscus,1,0,0,0,0,0,0,0,0,0,0
Acanthistius ocellatus,0,0,1,0,0,0,0,0,0,0,0
Acanthistius patachonicus,0,0,0,0,0,0,0,1,0,0,0
Acanthistius pictus,0,0,0,0,1,0,0,0,0,0,0
Acanthistius sebastoides,0,0,1,0,0,0,0,0,0,0,0
Acanthistius serratus,0,0,1,0,0,0,0,0,0,0,0
Acanthobrama lissneri,1,0,0,0,0,0,0,0,0,0,0
