,id,species,specimen,lightness,complexity,link,credit,note
0,001_nig,nig,KPM-NR 27777,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=27777,FishPix,
1,002_nig,nig,KPM-NR 5168,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=5168,FishPix,
2,003_nig,nig,KPM-NR 19430,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=19430,FishPix,
3,004_nig,nig,KPM-NR 34865,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=34865,FishPix,
4,005_nig,nig,KPM-NR 28080,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=28080,FishPix,
5,006_nig,nig,KPM-NR 78595,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=78595,FishPix,
6,007_nig,nig,KPM-NR 22755,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=22755,FishPix,
7,008_nig,nig,KPM-NR 41694,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=41694,FishPix,
8,009_nig,nig,KPM-NR 32856,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=32856,FishPix,
9,010_nig,nig,KPM-NR 68408,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=68408,FishPix,
10,011_nig,nig,KPM-NR 108344,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=108344,FishPix,
11,012_nig,nig,KPM-NR 85920,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=85920,FishPix,
12,013_nig,nig,KPM-NR 71932,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=71932,FishPix,
13,014_nig,nig,KPM-NR 91554,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=91554,FishPix,
14,015_nig,nig,KPM-NR 95310,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=95310,FishPix,
15,016_nig,nig,KPM-NR 69959,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=69959,FishPix,
16,017_ste,ste,KPM-NR 32850,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=32850,FishPix,
17,018_ste,ste,KAUM-I-66993,,,https://www.museum.kagoshima-u.ac.jp/,The Kagoshima University Museum,
18,019_ste,ste,KPM-NR 80614,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=80614,FishPix,
19,020_ste,ste,KPM-NR 81372,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=81372,FishPix,
20,021_ste,ste,KPM-NR 28416,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=28416,FishPix,
21,022_ste,ste,KPM-NR 60451,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=60451,FishPix,
22,023_ste,ste,Ar29_DSC07434.jpg,,,,"Miyazawa, S.",
23,024_ste,ste,KPM-NR 73866,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=73866,FishPix,
24,025_ste,ste,KPM-NR 78855,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=78855,FishPix,
25,026_ste,ste,KPM-NR 61559,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=61559,FishPix,
26,027_ste,ste,KPM-NR 1060,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=1060,FishPix,
27,028_ste,ste,KPM-NR 71973,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=71973,FishPix,
28,029_ste,ste,KPM-NR 66765,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=66765,FishPix,
