pattern,filebase,randomness,meanAngle,meanAspectRatio,meanACS,meanSqPx,EFD1,EFD2,EFD3,EFD4,EFD5,EFD6,EFD7,EFD8,EFD9,EFD10,EFD11,EFD12,EFD13,EFD14,EFD15,EFD16,EFD17,EFD18,EFD19,EFD20
1,rd_out/uni_q/crop/MB_1_A0.0800_C0.030_000_02000_rotx000_roty000_rotz000_crop_scale,145324,18.399230338557643,1.4271521739130435,57.70510869565217,1049.4130434782608,0.30119565217391303,0.20828260869565218,0.13958695652173914,0.112,0.09093478260869566,0.08510869565217391,0.07704347826086956,0.06869565217391305,0.0606304347826087,0.05154347826086976,0.05206521739130435,0.050108695652173914,0.050456521739130435,0.042956521739130435,0.042630434782608695,0.043521739130434785,0.043456521739130435,0.0471304347826087,0.06067391304347826,0.07043478260869565
1,rd_out/uni_q/crop/MB_1_A0.0800_C0.030_001_02000_rotx000_roty000_rotz000_crop_scale,145672,99.4066155795297,1.63192,54.70722,960.12,0.28702,0.23144,0.14344,0.11976,0.10636,0.09176000000000001,0.08356,0.07294,0.06474000000000035,0.06942,0.06636,0.09182,0.48475999999999997,0.079220000000000207,0.06120000000000002,0.06328,0.0601,0.08238,1.23174,0.0716600000000004
1,rd_out/uni_q/crop/MB_1_A0.0800_C0.030_002_02000_rotx000_roty000_rotz000_crop_scale,143802,160.8426225898625,1.5312391304347825,56.483391304347826,1016.7826086956521,0.3496521739130435,0.23815217391304347,0.1538695652173913,0.12789130434782608,0.10302173913043478,0.09776086956521739,0.08230434782608696,0.07854347826086956,0.07265217391304347,0.06476086956521739,0.06076086956521739,0.05445652173913043,0.057739130434782605,0.03967391304347884,0.05321739130434783,0.04713043478260869,0.04600000000000067,0.04543478260869565,0.051869565217391306,0.036195652173914024
1,rd_out/uni_q/crop/MB_1_A0.0800_C0.030_003_02000_rotx000_roty000_rotz000_crop_scale,145068,125.67640918790113,1.61525,55.66497916666667,989.0416666666666,0.3553125,0.2566041666666667,0.16210416666666666,0.1324375,0.10839583333333333,0.09372916666666667,0.08308333333333333,0.0675625,0.06597916666666667,0.05733333333333333,0.058395833333333334,0.049520833333333576,0.059541666666666666,0.04722916666666669,0.05652083333333333,0.03939583333333364,0.04635416666666695,0.04889583333333333,0.0554375,0.049437500000000176
1,rd_out/uni_q/crop/MB_1_A0.0800_C0.030_004_02000_rotx000_roty000_rotz000_crop_scale,145688,35.5772327649756,1.46308,53.70876,963.52,0.36166,0.24226,0.16194,0.12906,0.1018,0.10232,0.0958,0.06172000000000009,0.09318,0.0722000000000002,0.059860000000000156,0.0665,0.07290000000000003,0.0891,0.10816,0.08522,10.444600000000001,0.09496,0.12536,0.12522000000000022
1,rd_out/uni_q/crop/MB_1_A0.0800_C0.030_005_02000_rotx000_roty000_rotz000_crop_scale,145664,14.831265712006449,1.5843061224489796,55.2844693877551,973.0816326530612,0.3027142857142857,0.23912244897959184,0.1536734693877551,0.14079591836734695,0.1126734693877551,0.09951020408163265,0.08397959183673469,0.07973469387755103,0.07020408163265306,0.0640204081632653,0.061408163265306126,0.05014285714285752,0.05826530612244898,0.05779591836734694,0.04853061224489797,0.054877551020408165,0.049612244897959186,0.052387755102040814,0.04277551020408168,0.05014285714285714
1,rd_out/uni_q/crop/MB_1_A0.0800_C0.030_006_02000_rotx000_roty000_rotz000_crop_scale,146324,144.6296830975295,1.52894,53.70462,961.44,0.2401,0.22366,0.12366,0.11306,0.09346,0.08356,0.06516,0.06594,0.06064,0.06482,0.040980000000000225,0.05974000000000023,0.04488000000000004,0.043640000000000005,0.04566,0.04754,0.04626,0.05092,0.0477,0.0647
1,rd_out/uni_q/crop/MB_1_A0.0800_C0.030_007_02000_rotx000_roty000_rotz000_crop_scale,145796,160.2010031034677,1.668056603773585,51.93371698113207,893.566037735849,0.3596981132075472,0.24418867924528304,0.17243396226415095,0.12039622641509444,0.1248679245283019,0.11269811320754716,0.09590566037735908,0.1170754716981132,0.7477735849056604,0.10133962264150943,0.09062264150943408,0.08609433962264151,0.07754716981132076,0.08424528301886886,4.630000000000001,0.10343396226415094,0.0829056603773585,0.09283018867924528,0.7334150943396227,0.09088679245283018
2,rd_out/uni_q/crop/MB_1_A0.0800_C0.100_000_02000_rotx000_roty000_rotz000_crop_scale,157302,154.76029691717903,2.423379310344828,124.02120689655172,2546.9310344827586,0.4148275862068965,0.29293103448275865,0.1616551724137931,0.13886206896551723,0.11137931034482759,0.09910344827586207,0.09782758620689655,0.06706896551724166,0.08365517241379311,0.0736896551724138,0.07662068965517242,0.06527586206896598,0.06551724137931034,0.0703448275862069,0.08482758620689655,0.10551724137931034,19.367275862068965,0.10389655172413793,0.0843103448275862,0.0649655172413793
2,rd_out/uni_q/crop/MB_1_A0.0800_C0.100_001_02000_rotx000_roty000_rotz000_crop_scale,159095,42.794059878698356,2.5078823529411767,102.98573529411765,2127.205882352941,0.46658823529411764,0.37879411764705884,0.21505882352941177,0.19120588235294117,0.1378235294117647,0.11852941176470588,0.10864705882352942,0.10526470588235294,0.09658823529411764,0.08835294117647059,0.07779411764705897,0.07417647058823573,0.06744117647058867,0.07447058823529412,0.067147058823529407,0.07108823529411765,0.05014705882352961,0.07197058823529412,0.07285294117647059,0.0732058823529414
2,rd_out/uni_q/crop/MB_1_A0.0800_C0.100_002_02000_rotx000_roty000_rotz000_crop_scale,158510,79.53382236675905,2.8852307692307693,130.94057692307692,2791.346153846154,0.4870769230769231,0.4386923076923077,0.23203846153846153,0.22288461538461538,0.17446153846153847,0.12280769230769267,0.1425,0.11688461538461539,0.09988461538461715,0.10726923076923077,0.0928076923076923,0.1498846153846154,1.162153846153846,0.1476923076923077,0.07926923076923077,0.11103846153846154,0.08846153846153894,0.1458846153846154,9.698615384615385,0.125038461538462
2,rd_out/uni_q/crop/MB_1_A0.0800_C0.100_003_02000_rotx000_roty000_rotz000_crop_scale,158860,115.7445143854112,2.7249,112.85463333333334,2408.9,0.5395333333333333,0.4008,0.2357,0.19716666666666666,0.1499,0.1354,0.0994,0.0979,0.08616666666666667,0.07783333333333334,0.07640000000000002,0.07803333333333333,0.07896666666666718,0.06793333333333348,0.07126666666666669,0.0798,0.06456666666666666,0.06676666666666667,0.0588666666666668,0.059666666666666666
2,rd_out/uni_q/crop/MB_1_A0.0800_C0.100_004_02000_rotx000_roty000_rotz000_crop_scale,159706,147.6053777827995,2.2368125,106.93634375,2262.4375,0.463125,0.296,0.17884375,0.15203125,0.10471875,0.10584375,0.08184375,0.08321875,0.07409375,0.06381250000000038,0.06240625,0.05740625,0.05759375,0.0600625,0.041062500000000175,0.06025,0.05603125,0.0634375,0.0635,0.1023125
2,rd_out/uni_q/crop/MB_1_A0.0800_C0.100_005_02000_rotx000_roty000_rotz000_crop_scale,159000,149.41018315190874,2.529058823529412,100.87370588235294,2115.676470588235,0.4747647058823529,0.37070588235294116,0.22523529411764706,0.17888235294117646,0.1363529411764706,0.12291176470588236,0.10291176470588236,0.09564705882352942,0.08685294117647059,0.08817647058823529,0.06855882352941177,0.06858823529411764,0.060411764705883664,0.06747058823529412,0.05485294117647068,0.06344117647058824,0.06202941176470588,0.05529411764705884,0.06002941176470588,0.05952941176470629
2,rd_out/uni_q/crop/MB_1_A0.0800_C0.100_006_02000_rotx000_roty000_rotz000_crop_scale,157732,164.91963341092074,2.867892857142857,124.83785714285715,2554.285714285714,0.34764285714285714,0.3505,0.1732142857142857,0.15782142857142856,0.1075,0.11207142857142857,0.08728571428571429,0.08846428571428572,0.055678571428572035,0.077,0.06621428571428571,0.0619285714285722,0.05996428571428571,0.06367857142857143,0.06439285714285714,0.06542857142857143,0.07010714285714285,0.10953571428571428,12.298071428571427,0.10971428571428571
2,rd_out/uni_q/crop/MB_1_A0.0800_C0.100_007_02000_rotx000_roty000_rotz000_crop_scale,157945,173.7867191964439,2.981206896551724,124.49327586206897,2482.448275862069,0.48372413793103447,0.3627241379310345,0.2530689655172414,0.17379310344827587,0.1426206896551724,0.11344827586206896,0.10210344827586207,0.09127586206896551,0.08520689655172414,0.08713793103448277,0.06793103448275868,0.08017241379310344,0.0561034482758632,0.07213793103448275,0.062379310344827583,0.06286206896551724,0.05655172413793139,0.07279310344827587,0.07896551724137937,0.08227586206896552
3,rd_out/uni_q/crop/MB_1_A0.0800_C0.150_000_02000_rotx000_roty000_rotz000_crop_scale,160039,147.68166016632705,2.4568333333333334,238.64908333333332,7519,1.0206666666666666,0.4663333333333333,0.363,0.26016666666666666,0.2015,0.17916666666666667,0.16816666666666666,0.14858333333333335,0.10591666666666667,0.09375,0.08375,0.0725,0.07975,0.07091666666666667,0.06841666666666667,0.058833333333333335,0.05583333333333333,0.05375,0.06041666666666667,0.050333333333333334
3,rd_out/uni_q/crop/MB_1_A0.0800_C0.150_001_02000_rotx000_roty000_rotz000_crop_scale,159324,70.20552769725141,3.366214285714286,244.50035714285713,6356.857142857143,0.6637857142857143,0.4694285714285714,0.28135714285714286,0.25557142857142856,0.17964285714285713,0.15757142857142858,0.14207142857142857,0.127,0.10521428571428572,0.11621428571428571,0.09157142857142857,0.10235714285714285,0.060214285714286483,0.082,0.07228571428571429,0.08242857142857143,0.07914285714285714,0.08264285714285714,0.07264285714285719,0.07164285714285715
3,rd_out/uni_q/crop/MB_1_A0.0800_C0.150_002_02000_rotx000_roty000_rotz000_crop_scale,157838,91.52849104487969,2.872764705882353,185.20782352941177,5167.411764705882,1.1128823529411764,0.5976470588235294,0.408764705882353,0.35523529411764704,0.29941176470588393,0.2556470588235294,0.2554705882352941,0.20723529411764705,0.21341176470588236,0.2214705882352947,9.615823529411765,0.25535294117647056,0.1824705882352941,0.18235294117647058,0.17805882352941177,0.18770588235294117,0.16723529411764887,0.17282352941176493,0.21341176470588236,0.22717647058823529
3,rd_out/uni_q/crop/MB_1_A0.0800_C0.150_003_02000_rotx000_roty000_rotz000_crop_scale,157470,124.71474673028968,3.0624285714285713,214.772,6339.5,0.7130714285714286,0.5796428571428571,0.31335714285714283,0.24042857142857144,0.19557142857142856,0.15414285714285714,0.11978571428571429,0.10414285714285715,0.09935714285714285,0.09942857142857144,0.08364285714285714,0.08607142857142858,0.08364285714285714,0.07371428571428573,0.07035714285714315,0.07735714285714286,0.05828571428571429,0.06835714285714287,0.054214285714285715,0.04871428571428572
3,rd_out/uni_q/crop/MB_1_A0.0800_C0.150_004_02000_rotx000_roty000_rotz000_crop_scale,158045,72.49180466414192,2.9093333333333335,264.5381111111111,9955.888888888889,0.637,0.6626666666666666,0.45299999999999996,0.3597777777777778,0.3274444444444444,0.25666666666666665,0.20244444444444445,0.18444444444444444,0.1797777777777778,0.15222222222222223,0.14477777777777778,0.14433333333333334,0.13766666666666666,0.04788888888888941,0.13422222222222221,0.12566666666666665,0.13077777777777777,0.11744444444444445,0.12266666666666667,0.11888888888888889
3,rd_out/uni_q/crop/MB_1_A0.0800_C0.150_005_02000_rotx000_roty000_rotz000_crop_scale,159209,111.78864624649455,3.151923076923077,242.15376923076923,6653.7692307692305,0.6703846153846154,0.5961538461538461,0.24484615384615385,0.24407692307692308,0.20092307692307693,0.15823076923076923,0.15923076923076923,0.11446153846153846,0.11892307692307692,0.08453846153846153,0.10130769230769231,0.08415384615384615,0.07676923076923077,0.08069230769230769,0.06453846153846154,0.07123076923076924,0.0494615384615393,0.06976923076923076,0.06207692307692308,0.06853846153846153
